City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
227,wajir,1.7471,40.0573,26.57,72,98,4.45,KE,1701041170
228,fort st. john,56.2499,-120.8529,-0.06,74,75,3.09,CA,1701041170
229,boukadir,36.0663,1.126,10.4,60,10,2.23,DZ,1701041170
230,las heras,-46.5419,-68.9359,18.06,15,99,0.97,AR,1701041170
231,jacmel,18.2342,-72.5347,28.91,83,78,0.9,HT,1701041170
232,college,64.8569,-147.8028,-3.64,87,75,1.54,US,1701041171
233,gadzhiyevo,69.2551,33.3362,-14.95,90,48,2.66,RU,1701041171
234,itapuranga,-15.5622,-49.9486,21.48,96,93,1.95,BR,1701041171
235,chernyshevskiy,63.0128,112.4714,-21.59,98,94,1.78,RU,1701041172
236,cadale,2.7603,46.3222,27.41,77,91,5.53,SO,1701041172
237,lesneven,48.5723,-4.3213,11.25,96,75,5.14,FR,1701041172
238,svetlyy,54.675,20.1347,-5.91,88,67,2.4,RU,1701041172
239,georgetown,5.4112,100.3354,25.96,92,20,1.54,MY,1701041173
240,rada tilly,-45.9333,-67.5333,12.27,58,0,7.2,AR,1701041173
241,saldanha,-33.0117,17.9442,15.03,87,6,5.42,ZA,1701041173
242,igarka,67.4667,86.5833,-27.28,98,50,2.72,RU,1701041173
243,acajutla,13.5928,-89.8275,28.56,73,48,1.12,SV,1701041174
244,dolores,-36.3132,-57.6792,20.68,55,0,6.12,AR,1701041174
245,tralee,52.2704,-9.7026,10.27,89,99,3.87,IE,1701041174
246,kudahuvadhoo,2.6708,72.8944,27.61,76,47,2.16,MV,1701040886
247,yarkovo,57.4028,67.0786,0.16,96,100,3.7,RU,1701041175
248,sal rei,16.1833,-22.9167,24.48,68,6,6.49,CV,1701041175
249,tolanaro,-25.0319,46.9987,25.04,83,20,6.17,MG,1701041175
250,kristiansund,63.1115,7.732,-1.64,64,3,3.6,NO,1701041175
251,umea,63.8284,20.2597,-7.04,86,40,4.63,SE,1701041176
252,bali chak,22.3667,87.55,18.63,62,24,1.92,IN,1701041176
253,klaksvik,62.2266,-6.589,3.51,71,94,8.52,FO,1701041176
254,rongelap,11.1635,166.8941,27.92,77,9,9.39,MH,1701041177
255,leninskoye,41.7589,69.3864,12.97,28,82,1.49,KZ,1701041177
256,mhamid,29.82,-5.72,14.02,21,0,1.16,MA,1701041177
257,yemetsk,63.4721,41.7941,-18.97,98,29,1.49,RU,1701041178
258,aykhal,66.0,111.5,-20.97,99,99,3.94,RU,1701041178
259,newman,37.3138,-121.0208,16.24,45,99,0.89,US,1701041178
260,urzhar,47.093,81.6294,4.52,44,100,2.4,KZ,1701041178
261,haiku-pauwela,20.9219,-156.3051,27.01,69,40,11.32,US,1701041179
262,prineville,44.2999,-120.8345,9.69,38,0,0.89,US,1701041179
263,constantia,44.1833,28.65,-0.62,73,100,9.86,RO,1701041179
264,harper,4.375,-7.7169,26.03,85,25,3.04,LR,1701041179
265,yoko,5.5333,12.3167,19.31,92,70,1.26,CM,1701041180
266,biloela,-24.4167,150.5,26.17,64,98,3.11,AU,1701041180
267,puerto santa,-8.9906,-78.6456,19.9,83,64,4.01,PE,1701041180
268,nahiyat ash shinafiyah,31.5874,44.6602,19.48,59,0,3.57,IQ,1701041181
269,allapalli,19.4167,80.0667,19.35,79,7,1.58,IN,1701041181
270,chonchi,-42.6128,-73.8092,13.4,77,100,0.89,CL,1701041181
271,xai-xai,-25.0519,33.6442,22.51,94,1,2.05,MZ,1701041182
272,ijevan,40.8783,45.1492,10.6,66,12,3.43,AM,1701041182
273,gur'yevsk,54.2833,85.9333,-0.15,93,99,2.88,RU,1701041182
274,enewetak,11.3474,162.3373,28.03,79,73,9.68,MH,1701041182
275,antofagasta,-23.65,-70.4,18.6,75,16,2.66,CL,1701041164
276,nemuro,43.3236,145.575,2.09,56,49,3.77,JP,1701041183
277,parauapebas,-6.0675,-49.9022,26.11,71,87,0.82,BR,1701041183
278,bubaque,11.2833,-15.8333,27.24,63,3,4.2,GW,1701041183
279,harstad,68.799,16.5293,-0.21,96,56,1.79,NO,1701041184
280,pangody,65.85,74.4859,-12.71,96,95,3.28,RU,1701041184
281,heihe,50.2441,127.4902,-23.68,93,92,0.9,CN,1701041184
282,kodar,16.9833,79.9667,21.03,96,46,1.39,IN,1701041184
283,mil'kovo,55.6078,37.7956,-3.89,96,100,7.45,RU,1701041184
284,fort bragg,35.139,-79.006,8.91,89,75,0.0,US,1701041185
285,ubinskoye,55.3068,79.6802,-3.12,94,95,3.15,RU,1701041185
286,myrina,39.8797,25.0742,7.58,53,40,4.63,GR,1701041185
287,egilsstadir,65.2653,-14.3948,-4.05,93,0,1.03,IS,1701041186
288,cidade velha,14.9167,-23.6167,24.26,69,20,4.63,CV,1701041186
289,turmalina,-17.2856,-42.73,24.76,52,71,3.56,BR,1701041186
290,pipar,26.3856,73.5378,16.23,80,100,5.14,IN,1701041186
291,axim,4.8699,-2.2405,25.09,87,100,2.61,GH,1701041187
292,hashtpar,37.8008,48.9037,20.45,47,4,6.67,IR,1701041187
293,tiflet,33.8947,-6.3065,7.33,90,83,0.45,MA,1701041187
294,brookings,44.3114,-96.7984,-5.9,68,0,6.17,US,1701041187
295,amga,60.8953,131.9608,-27.29,97,100,2.74,RU,1701041188
296,puerto carreno,6.189,-67.4859,28.99,74,20,1.54,CO,1701041188
297,guiuan,11.0333,125.7247,27.27,81,78,1.78,PH,1701040999
298,kingston,17.997,-76.7936,28.53,76,20,9.26,JM,1701041046
299,porto novo,6.4965,2.6036,23.9,89,100,0.74,BJ,1701041189
300,kharp,66.8014,65.8081,-19.89,97,57,2.22,RU,1701041189
301,fethiye,36.6217,29.1164,9.93,68,33,3.4,TR,1701041189
